machine_id,machine_code,machine_name,machine_type,line_id,manufacturer,installation_date,rated_power_kw,status,created_at
1,M001,Assembly Robot A1,ROBOT,1,ABB,2022-03-15,18.50,RUNNING,2026-08-19 20:20:09.812418
2,M002,Assembly Press A2,PRESS,1,Schneider,2022-04-22,22.00,RUNNING,2026-08-19 20:20:09.812418
3,M003,Torque Station A3,ASSEMBLY,1,Atlas Copco,2023-01-18,12.00,RUNNING,2026-08-19 20:20:09.812418
4,M004,CNC Machine B1,CNC,2,DMG MORI,2019-06-10,45.00,RUNNING,2026-08-19 20:20:09.812418
5,M005,CNC Machine B2,CNC,2,DMG MORI,2020-02-14,48.00,RUNNING,2026-08-19 20:20:09.812418
6,M006,CNC Machine B3,CNC,2,Mazak,2021-09-01,42.00,RUNNING,2026-08-19 20:20:09.812418
7,M007,Grinding Machine B4,GRINDER,2,Kellenberger,2020-11-20,35.00,RUNNING,2026-08-19 20:20:09.812418
8,M008,Assembly Robot C1,ROBOT,3,KUKA,2023-05-12,20.00,RUNNING,2026-08-19 20:20:09.812418
9,M009,Fastening Station C2,ASSEMBLY,3,Bosch Rexroth,2023-06-18,15.00,RUNNING,2026-08-19 20:20:09.812418
10,M010,Inspection Station C3,VISION,3,Keyence,2024-01-08,10.00,RUNNING,2026-08-19 20:20:09.812418
