order_id,order_number,product_id,line_id,planned_quantity,actual_quantity,rejected_quantity,planned_start,actual_start,planned_end,actual_end,status
1,MO-000001,3,1,280,264,7,2026-01-05 06:10:00,2026-01-05 06:13:00,2026-01-05 08:37:00,2026-01-05 08:59:00,COMPLETED
2,MO-000002,1,1,438,430,1,2026-01-05 09:19:00,2026-01-05 09:30:00,2026-01-05 11:47:00,2026-01-05 12:19:00,COMPLETED
3,MO-000003,4,1,283,283,0,2026-01-05 12:32:00,2026-01-05 12:32:00,2026-01-05 15:09:00,2026-01-05 15:13:00,COMPLETED
4,MO-000004,1,2,433,425,1,2026-01-05 06:34:00,2026-01-05 06:39:00,2026-01-05 08:40:00,2026-01-05 08:48:00,COMPLETED
5,MO-000005,4,2,198,195,1,2026-01-05 09:14:00,2026-01-05 09:19:00,2026-01-05 11:34:00,2026-01-05 11:36:00,COMPLETED
6,MO-000006,5,2,184,183,2,2026-01-05 12:13:00,2026-01-05 12:22:00,2026-01-05 14:02:00,2026-01-05 14:27:00,COMPLETED
7,MO-000007,5,3,268,264,7,2026-01-05 06:21:00,2026-01-05 06:27:00,2026-01-05 09:23:00,2026-01-05 09:38:00,COMPLETED
8,MO-000008,4,3,479,468,2,2026-01-05 09:04:00,2026-01-05 09:13:00,2026-01-05 10:58:00,2026-01-05 11:21:00,COMPLETED
9,MO-000009,4,3,345,332,2,2026-01-05 12:10:00,2026-01-05 12:20:00,2026-01-05 15:08:00,2026-01-05 15:23:00,COMPLETED
10,MO-000010,4,1,286,285,5,2026-01-06 06:32:00,2026-01-06 06:34:00,2026-01-06 08:50:00,2026-01-06 09:21:00,COMPLETED
